
(datetime.datetime(2023, 11, 1, 0, 3, 2), (31.98649850313743, -90.0, -6356568.684839337))
(datetime.datetime(2023, 11, 1, 0, 3, 3), (32.01593034195106, -90.0, -6356572.068627446))
(datetime.datetime(2023, 11, 1, 0, 3, 4), (32.04536709361887, -90.0, -6356575.452495376))
(datetime.datetime(2023, 11, 1, 0, 3, 5), (32.074808770143164, -90.0, -6356578.836441635))
(datetime.datetime(2023, 11, 1, 0, 3, 6), (32.1042553835326, -90.0, -6356582.220464728))
(datetime.datetime(2023, 11, 1, 0, 3, 7), (32.13370694580825, -90.0, -6356585.604563158))
(datetime.datetime(2023, 11, 1, 0, 3, 8), (32.163163469000075, -90.0, -6356588.988735431))
(datetime.datetime(2023, 11, 1, 0, 3, 9), (32.19262496514636, -90.0, -6356592.372980049))
(datetime.datetime(2023, 11, 1, 0, 3, 10), (32.222091446296474, -90.0, -6356595.757295513))
(datetime.datetime(2023, 11, 1, 0, 3, 11), (32.25156292450885, -90.0, -6356599.141680324))
(datetime.datetime(2023, 11, 1, 0, 3, 12), (32.28103941185087, -90.0, -6356602.526132985))
(datetime.datetime(2023, 11, 1, 0, 3, 13), (32.31052092040103, -90.0, -6356605.910651993))
(datetime.datetime(2023, 11, 1, 0, 3, 14), (32.340007462246376, -90.0, -6356609.295235847))
(datetime.datetime(2023, 11, 1, 0, 3, 15), (32.36949904948303, -90.0, -6356612.679883045))
(datetime.datetime(2023, 11, 1, 0, 3, 16), (32.398995694218414, -90.0, -6356616.064592084))
(datetime.datetime(2023, 11, 1, 0, 3, 17), (32.42849740856897, -90.0, -6356619.44936146))
(datetime.datetime(2023, 11, 1, 0, 3, 18), (32.45800420466094, -90.0, -6356622.834189669))
(datetime.datetime(2023, 11, 1, 0, 3, 19), (32.487516094629385, -90.0, -6356626.219075205))
(datetime.datetime(2023, 11, 1, 0, 3, 20), (32.517033090619314, -90.0, -6356629.604016561))
(datetime.datetime(2023, 11, 1, 0, 3, 21), (32.54655520478877, -90.0, -6356632.989012231))
(datetime.datetime(2023, 11, 1, 0, 3, 22), (32.576082449299726, -90.0, -6356636.374060705))
(datetime.datetime(2023, 11, 1, 0, 3, 23), (32.60561483632921, -90.0, -6356639.759160477))
(datetime.datetime(2023, 11, 1, 0, 3, 24), (32.635152378060155, -90.0, -6356643.144310034))
(datetime.datetime(2023, 11, 1, 0, 3, 25), (32.6646950866893, -90.0, -6356646.529507868))
(datetime.datetime(2023, 11, 1, 0, 3, 26), (32.694242974419176, -90.0, -6356649.914752466))
(datetime.datetime(2023, 11, 1, 0, 3, 27), (32.723796053464575, -90.0, -6356653.300042316))
(datetime.datetime(2023, 11, 1, 0, 3, 28), (32.75335433604954, -90.0, -6356656.6853759065))
(datetime.datetime(2023, 11, 1, 0, 3, 29), (32.78291783440846, -90.0, -6356660.070751721))
(datetime.datetime(2023, 11, 1, 0, 3, 30), (32.81248656078574, -90.0, -6356663.4561682455))
(datetime.datetime(2023, 11, 1, 0, 3, 31), (32.842060527433425, -90.0, -6356666.841623966))
(datetime.datetime(2023, 11, 1, 0, 3, 32), (32.871639746616914, -90.0, -6356670.227117363))
(datetime.datetime(2023, 11, 1, 0, 3, 33), (32.90122423061047, -90.0, -6356673.6126469225))
(datetime.datetime(2023, 11, 1, 0, 3, 34), (32.93081399169544, -90.0, -6356676.998211123))
(datetime.datetime(2023, 11, 1, 0, 3, 35), (32.960409042167754, -90.0, -6356680.383808448))
(datetime.datetime(2023, 11, 1, 0, 3, 36), (32.99000939433005, -90.0, -6356683.769437376))
(datetime.datetime(2023, 11, 1, 0, 3, 37), (33.01961506049736, -90.0, -6356687.1550963875))
(datetime.datetime(2023, 11, 1, 0, 3, 38), (33.04922605299226, -90.0, -6356690.54078396))
(datetime.datetime(2023, 11, 1, 0, 3, 39), (33.07884238414856, -90.0, -6356693.926498571))
(datetime.datetime(2023, 11, 1, 0, 3, 40), (33.10846406631077, -90.0, -6356697.312238698))
(datetime.datetime(2023, 11, 1, 0, 3, 41), (33.13809111183265, -90.0, -6356700.698002815))
(datetime.datetime(2023, 11, 1, 0, 3, 42), (33.16772353307859, -90.0, -6356704.0837894))
(datetime.datetime(2023, 11, 1, 0, 3, 43), (33.19736134242307, -90.0, -6356707.469596924))
(datetime.datetime(2023, 11, 1, 0, 3, 44), (33.22700455224927, -90.0, -6356710.855423863))
(datetime.datetime(2023, 11, 1, 0, 3, 45), (33.256653174952994, -90.0, -6356714.241268687))
(datetime.datetime(2023, 11, 1, 0, 3, 46), (33.28630722293903, -90.0, -6356717.62712987))
(datetime.datetime(2023, 11, 1, 0, 3, 47), (33.315966708621154, -90.0, -6356721.01300588))
(datetime.datetime(2023, 11, 1, 0, 3, 48), (33.345631644425076, -90.0, -6356724.398895188))
(datetime.datetime(2023, 11, 1, 0, 3, 49), (33.37530204278698, -90.0, -6356727.784796264))
(datetime.datetime(2023, 11, 1, 0, 3, 50), (33.40497791615151, -90.0, -6356731.170707575))
(datetime.datetime(2023, 11, 1, 0, 3, 51), (33.4346592769747, -90.0, -6356734.556627588))
(datetime.datetime(2023, 11, 1, 0, 3, 52), (33.46434613772284, -90.0, -6356737.942554771))
(datetime.datetime(2023, 11, 1, 0, 3, 53), (33.49403851087153, -90.0, -6356741.328487589))
(datetime.datetime(2023, 11, 1, 0, 3, 54), (33.52373640890878, -90.0, -6356744.714424505))
(datetime.datetime(2023, 11, 1, 0, 3, 55), (33.55343984433064, -90.0, -6356748.100363985))
(datetime.datetime(2023, 11, 1, 0, 3, 56), (33.58314882964464, -90.0, -6356751.486304491))
(datetime.datetime(2023, 11, 1, 0, 3, 57), (33.61286337736909, 90.0, -6356749.756245875))
(datetime.datetime(2023, 11, 1, 0, 3, 58), (33.64258350003125, 90.0, -6356746.370307931))
(datetime.datetime(2023, 11, 1, 0, 3, 59), (33.67230921017082, 90.0, -6356742.984373578))
(datetime.datetime(2023, 11, 1, 0, 4), (33.70204052033514, 90.0, -6356739.598444356))
(datetime.datetime(2023, 11, 1, 0, 4, 1), (33.731777443084454, 90.0, -6356736.212521805))
(datetime.datetime(2023, 11, 1, 0, 4, 2), (33.76151999098849, 90.0, -6356732.8266074695))
(datetime.datetime(2023, 11, 1, 0, 4, 3), (33.79126817662774, 90.0, -6356729.440702891))
(datetime.datetime(2023, 11, 1, 0, 4, 4), (33.821022012590646, 90.0, -6356726.054809613))
(datetime.datetime(2023, 11, 1, 0, 4, 5), (33.85078151148203, 90.0, -6356722.668929182))
(datetime.datetime(2023, 11, 1, 0, 4, 6), (33.880546685911185, 90.0, -6356719.283063143))
(datetime.datetime(2023, 11, 1, 0, 4, 7), (33.91031754850054, 90.0, -6356715.897213041))
(datetime.datetime(2023, 11, 1, 0, 4, 8), (33.94009411188355, 90.0, -6356712.511380426))
(datetime.datetime(2023, 11, 1, 0, 4, 9), (33.96987638870269, 90.0, -6356709.125566844))
(datetime.datetime(2023, 11, 1, 0, 4, 10), (33.999664391612306, 90.0, -6356705.739773846))
(datetime.datetime(2023, 11, 1, 0, 4, 11), (34.029458133277004, 90.0, -6356702.354002981))
(datetime.datetime(2023, 11, 1, 0, 4, 12), (34.05925762637121, 90.0, -6356698.9682558))
(datetime.datetime(2023, 11, 1, 0, 4, 13), (34.08906288358116, 90.0, -6356695.582533855))
(datetime.datetime(2023, 11, 1, 0, 4, 14), (34.11887391760343, 90.0, -6356692.196838698))
(datetime.datetime(2023, 11, 1, 0, 4, 15), (34.14869074114427, 90.0, -6356688.811171885))
(datetime.datetime(2023, 11, 1, 0, 4, 16), (34.178513366921315, 90.0, -6356685.425534966))
(datetime.datetime(2023, 11, 1, 0, 4, 17), (34.208341807664, 90.0, -6356682.0399295))
(datetime.datetime(2023, 11, 1, 0, 4, 18), (34.23817607611054, 90.0, -6356678.654357042))
(datetime.datetime(2023, 11, 1, 0, 4, 19), (34.26801618501111, 90.0, -6356675.268819149))
(datetime.datetime(2023, 11, 1, 0, 4, 20), (34.297862147125045, 90.0, -6356671.883317377))
(datetime.datetime(2023, 11, 1, 0, 4, 21), (34.327713975225635, 90.0, -6356668.497853288))
(datetime.datetime(2023, 11, 1, 0, 4, 22), (34.35757168209353, 90.0, -6356665.112428441))
(datetime.datetime(2023, 11, 1, 0, 4, 23), (34.38743528052217, 90.0, -6356661.727044394))
(datetime.datetime(2023, 11, 1, 0, 4, 24), (34.41730478331494, 90.0, -6356658.341702711))
(datetime.datetime(2023, 11, 1, 0, 4, 25), (34.447180203286436, 90.0, -6356654.956404953))
(datetime.datetime(2023, 11, 1, 0, 4, 26), (34.477061553262146, 90.0, -6356651.571152684))
(datetime.datetime(2023, 11, 1, 0, 4, 27), (34.50694884607846, 90.0, -6356648.1859474685))
(datetime.datetime(2023, 11, 1, 0, 4, 28), (34.53684209458156, 90.0, -6356644.80079087))
(datetime.datetime(2023, 11, 1, 0, 4, 29), (34.566741311630786, 90.0, -6356641.415684454))
(datetime.datetime(2023, 11, 1, 0, 4, 30), (34.59664651009489, 90.0, -6356638.0306297885))
